CaI	IP3	CaS	g	C	D	Robustness
0.1	0.05	1100.0	0.0	0.646875	2.109375	-87.9536
0.1	0.05	1100.0	0.0	0.646875	2.125	-87.90102
0.1	0.05	1100.0	0.0	0.646875	2.140625	-88.04731
0.1	0.05	1100.0	0.0	0.646875	2.15625	-76.17054
0.1	0.05	1100.0	0.0	0.646875	2.171875	-56.457886
0.1	0.05	1100.0	0.0	0.646875	2.1875	-36.344425
0.1	0.05	1100.0	0.0	0.646875	2.203125	-18.710556
0.1	0.05	1100.0	0.0	0.646875	2.21875	-7.127266
0.1	0.05	1100.0	0.0	0.646875	2.234375	-7.58947
0.1	0.05	1100.0	0.0	0.646875	2.25	-6.88855
0.1	0.05	1100.0	0.0	0.646875	2.265625	-7.0674744
0.1	0.05	1100.0	0.0	0.646875	2.28125	-8.054413
0.1	0.05	1100.0	0.0	0.646875	2.296875	-9.747002
0.1	0.05	1100.0	0.0	0.646875	2.3125	-10.84845
0.1	0.05	1100.0	0.0	0.646875	2.328125	-10.223473
0.1	0.05	1100.0	0.0	0.646875	2.34375	-10.406815
0.1	0.05	1100.0	0.0	0.646875	2.359375	-11.333191
0.1	0.05	1100.0	0.0	0.646875	2.375	-12.909836
0.1	0.05	1100.0	0.0	0.646875	2.390625	-14.150154
0.1	0.05	1100.0	0.0	0.646875	2.40625	-13.744812
0.1	0.05	1100.0	0.0	0.646875	2.421875	-21.827003
0.1	0.05	1100.0	0.0	0.646875	2.4375	-33.926506
0.1	0.05	1100.0	0.0	0.646875	2.453125	-44.70061
0.1	0.05	1100.0	0.0	0.646875	2.46875	-52.667107
0.1	0.05	1100.0	0.0	0.646875	2.484375	-58.271336
0.1	0.05	1100.0	0.0	0.646875	2.5	-62.237427
0.1	0.05	1100.0	0.0	0.6625	1.5	-78.98968
0.1	0.05	1100.0	0.0	0.6625	1.515625	-79.38771
0.1	0.05	1100.0	0.0	0.6625	1.53125	-81.66986
0.1	0.05	1100.0	0.0	0.6625	1.546875	-81.92091
0.1	0.05	1100.0	0.0	0.6625	1.5625	-83.3656
0.1	0.05	1100.0	0.0	0.6625	1.578125	-83.54403
0.1	0.05	1100.0	0.0	0.6625	1.59375	-84.56392
0.1	0.05	1100.0	0.0	0.6625	1.609375	-84.70204
0.1	0.05	1100.0	0.0	0.6625	1.625	-84.84562
0.1	0.05	1100.0	0.0	0.6625	1.640625	-85.59007
0.1	0.05	1100.0	0.0	0.6625	1.65625	-85.70676
0.1	0.05	1100.0	0.0	0.6625	1.671875	-85.82493
0.1	0.05	1100.0	0.0	0.6625	1.6875	-86.08871
0.1	0.05	1100.0	0.0	0.6625	1.703125	-86.497025
0.1	0.05	1100.0	0.0	0.6625	1.71875	-86.590775
0.1	0.05	1100.0	0.0	0.6625	1.734375	-86.68106
0.1	0.05	1100.0	0.0	0.6625	1.75	-86.76686
0.1	0.05	1100.0	0.0	0.6625	1.765625	-86.84749
0.1	0.05	1100.0	0.0	0.6625	1.78125	-87.25713
0.1	0.05	1100.0	0.0	0.6625	1.796875	-87.31504
0.1	0.05	1100.0	0.0	0.6625	1.8125	-87.367386
0.1	0.05	1100.0	0.0	0.6625	1.828125	-87.41382
0.1	0.05	1100.0	0.0	0.6625	1.84375	-87.45458
0.1	0.05	1100.0	0.0	0.6625	1.859375	-87.48974
0.1	0.05	1100.0	0.0	0.6625	1.875	-87.75577
0.1	0.05	1100.0	0.0	0.6625	1.890625	-87.81077
0.1	0.05	1100.0	0.0	0.6625	1.90625	-87.82498
0.1	0.05	1100.0	0.0	0.6625	1.921875	-87.83449
0.1	0.05	1100.0	0.0	0.6625	1.9375	-87.839775
0.1	0.05	1100.0	0.0	0.6625	2.0625	-87.9593
0.1	0.05	1100.0	0.0	0.6625	2.078125	-88.143654
0.1	0.05	1100.0	0.0	0.6625	2.09375	-88.10671
0.1	0.05	1100.0	0.0	0.6625	2.109375	-88.06637
0.1	0.05	1100.0	0.0	0.6625	2.125	-88.02259
0.1	0.05	1100.0	0.0	0.6625	2.15625	-88.130226
0.1	0.05	1100.0	0.0	0.6625	2.1875	-88.01666
0.1	0.05	1100.0	0.0	0.6625	2.203125	-83.30951
0.1	0.05	1100.0	0.0	0.6625	2.21875	-66.072426
0.1	0.05	1100.0	0.0	0.6625	2.234375	-45.977345
0.1	0.05	1100.0	0.0	0.6625	2.25	-27.088913
0.1	0.05	1100.0	0.0	0.6625	2.265625	-11.944885
0.1	0.05	1100.0	0.0	0.6625	2.28125	-5.2063446
0.1	0.05	1100.0	0.0	0.6625	2.296875	-6.5417023
0.1	0.05	1100.0	0.0	0.6625	2.3125	-8.715935
0.1	0.05	1100.0	0.0	0.6625	2.328125	-8.122192
0.1	0.05	1100.0	0.0	0.6625	2.34375	-7.7706223
0.1	0.05	1100.0	0.0	0.6625	2.359375	-8.422699
0.1	0.05	1100.0	0.0	0.6625	2.375	-9.963287
0.1	0.05	1100.0	0.0	0.6625	2.390625	-11.6851425
0.1	0.05	1100.0	0.0	0.6625	2.40625	-10.870438
0.1	0.05	1100.0	0.0	0.6625	2.421875	-11.003632
0.1	0.05	1100.0	0.0	0.6625	2.4375	-12.007202
0.1	0.05	1100.0	0.0	0.6625	2.453125	-13.765106
0.1	0.05	1100.0	0.0	0.6625	2.46875	-14.297607
0.1	0.05	1100.0	0.0	0.6625	2.484375	-23.406586
0.1	0.05	1100.0	0.0	0.6625	2.5	-35.416267
0.1	0.05	1100.0	0.0	0.678125	1.5	-71.483246
0.1	0.05	1100.0	0.0	0.678125	1.515625	-74.93617
0.1	0.05	1100.0	0.0	0.678125	1.53125	-77.6756
0.1	0.05	1100.0	0.0	0.678125	1.546875	-80.11188
0.1	0.05	1100.0	0.0	0.678125	1.5625	-80.84404
0.1	0.05	1100.0	0.0	0.678125	1.578125	-82.60105
0.1	0.05	1100.0	0.0	0.678125	1.59375	-82.77396
