x0	x1	x2	F	G	Robustness
0.0	0.0	0.0	0.5453125	0.1	-0.022269445
0.0	0.0	0.0	0.5453125	0.11484375	-0.02443775
0.0	0.0	0.0	0.5453125	0.14453125	-0.029231597
0.0	0.0	0.0	0.5453125	0.159375	-0.03209929
0.0	0.0	0.0	0.5453125	0.17421874	-0.035457242
0.0	0.0	0.0	0.5453125	0.20390625	-0.044436768
0.0	0.0	0.0	0.5453125	0.21875	-0.050650492
0.0	0.0	0.0	0.5453125	0.23359376	-0.058743946
0.0	0.0	0.0	0.5453125	0.278125	-0.11317973
0.0	0.0	0.0	0.5453125	0.29296875	-0.1535724
0.0	0.0	0.0	0.5527344	0.107421875	-0.022848016
0.0	0.0	0.0	0.5601562	0.1	-0.021357436
0.0	0.0	0.0	0.5601562	0.107421875	-0.022361182
0.0	0.0	0.0	0.5601562	0.11484375	-0.023397319
0.0	0.0	0.0	0.5601562	0.1296875	-0.025563978
0.0	0.0	0.0	0.5601562	0.159375	-0.030341292
0.0	0.0	0.0	0.5601562	0.1890625	-0.03676036
0.0	0.0	0.0	0.56757814	0.107421875	-0.021884631
0.0	0.0	0.0	0.56757814	0.33007812	-0.26699007
0.0	0.0	0.0	0.575	0.1	-0.020481218
0.0	0.0	0.0	0.575	0.11484375	-0.022381987
0.0	0.0	0.0	0.575	0.1296875	-0.024423735
0.0	0.0	0.0	0.575	0.14453125	-0.026589833
0.0	0.0	0.0	0.575	0.159375	-0.028833574
0.0	0.0	0.0	0.575	0.17421874	-0.03138642
0.0	0.0	0.0	0.575	0.1890625	-0.034401216
0.0	0.0	0.0	0.575	0.20390625	-0.038083512
0.0	0.0	0.0	0.575	0.21875	-0.042700626
0.0	0.0	0.0	0.575	0.23359376	-0.048619106
0.0	0.0	0.0	0.575	0.2484375	-0.056453556
0.0	0.0	0.0	0.575	0.26328126	-0.067520045
0.0	0.0	0.0	0.575	0.278125	-0.08468226
0.0	0.0	0.0	0.575	0.3078125	-0.15821946
0.0	0.0	0.0	0.575	0.32265624	-0.22027269
0.0	0.0	0.0	0.575	0.33007812	-0.25449935
0.0	0.0	0.0	0.575	0.3375	-0.2879394
