CaI	IP3	CaS	g	k1	k2	Robustness
0.1	0.05	1100.0	0.0	0.39999998	0.1171875	-0.035860002
0.1	0.05	1100.0	0.0	0.39999998	0.118750006	-0.028841555
0.1	0.05	1100.0	0.0	0.39999998	0.120312504	-0.041904718
0.1	0.05	1100.0	0.0	0.39999998	0.121875	-0.055146694
0.1	0.05	1100.0	0.0	0.39999998	0.1234375	-0.048772484
0.1	0.05	1100.0	0.0	0.39999998	0.125	-0.062144935
0.1	0.05	1100.0	0.0	0.39999998	0.1265625	-0.075840235
0.1	0.05	1100.0	0.0	0.39999998	0.128125	-0.07234916
0.1	0.05	1100.0	0.0	0.39999998	0.1296875	-0.083699614
0.1	0.05	1100.0	0.0	0.39999998	0.13125	-0.09781358
0.1	0.05	1100.0	0.0	0.39999998	0.1328125	-0.098261595
0.1	0.05	1100.0	0.0	0.39999998	0.134375	-0.10738763
0.1	0.05	1100.0	0.0	0.39999998	0.1359375	-0.10099402
0.1	0.05	1100.0	0.0	0.39999998	0.1375	-0.11558649
0.1	0.05	1100.0	0.0	0.39999998	0.1390625	-0.11614981
0.1	0.05	1100.0	0.0	0.39999998	0.140625	-0.12615088
0.1	0.05	1100.0	0.0	0.39999998	0.1421875	-0.1363574
0.1	0.05	1100.0	0.0	0.39999998	0.14375	-0.13518885
0.1	0.05	1100.0	0.0	0.39999998	0.1453125	-0.13738337
0.1	0.05	1100.0	0.0	0.39999998	0.146875	-0.14816228
0.1	0.05	1100.0	0.0	0.39999998	0.1484375	-0.14098993
0.1	0.05	1100.0	0.0	0.39999998	0.15	-0.15640143
0.1	0.05	1100.0	0.0	0.39999998	0.1515625	-0.16156498
0.1	0.05	1100.0	0.0	0.39999998	0.153125	-0.17302427
0.1	0.05	1100.0	0.0	0.39999998	0.1546875	-0.16466722
0.1	0.05	1100.0	0.0	0.39999998	0.15625	-0.17642102
0.1	0.05	1100.0	0.0	0.39999998	0.1578125	-0.16837338
0.1	0.05	1100.0	0.0	0.39999998	0.159375	-0.18039712
0.1	0.05	1100.0	0.0	0.39999998	0.1609375	-0.1783469
