predator	prey	Robustness
1.7734375	19.5625	-12.78344
1.7734375	20.335938	-11.779972
1.7734375	21.109375	-12.779247
1.7734375	21.882812	-12.279175
1.7734375	22.65625	-10.378578
1.7734375	23.429688	-10.174419
1.7734375	24.203125	-8.857964
1.7734375	24.976562	-8.471664
1.7734375	25.75	-9.083618
1.7734375	26.523438	-7.517288
1.7734375	27.296875	-8.291328
1.7734375	28.070312	-6.733486
1.7734375	28.84375	-8.686825
1.7734375	29.617188	-7.4361687
1.7734375	30.390625	-6.1870995
1.7734375	31.164062	-7.24942
1.7734375	31.9375	-6.376877
1.7734375	32.710938	-5.1136475
1.7734375	33.484375	-6.4112434
1.7734375	34.257812	-5.698902
1.7734375	35.03125	-7.4562416
1.7734375	35.804688	-4.1022415
1.7734375	36.578125	-5.1273193
1.7734375	37.351562	-5.383026
1.7734375	38.125	-3.3921814
1.7734375	38.898438	-3.9053726
1.7734375	39.671875	-4.0926323
1.7734375	40.445312	-3.5405273
1.7734375	41.21875	-4.7405167
1.7734375	41.992188	-4.1492233
1.7734375	42.765625	-4.3396034
1.7734375	43.539062	-3.9839134
1.7734375	44.3125	-5.529846
1.7734375	45.085938	-5.102726
1.7734375	45.859375	-5.158821
1.7734375	46.632812	-4.786438
1.7734375	47.40625	-3.9344063
1.7734375	48.179688	-4.798828
1.7734375	48.953125	-3.2421913
1.7734375	49.726562	-4.917389
1.7734375	50.5	-3.7825584
1.7734375	51.273438	-4.6009445
1.7734375	52.046875	-4.044243
1.7734375	52.820312	-3.695713
1.7734375	53.59375	-4.2454185
1.7734375	54.367188	-3.573223
1.7734375	55.140625	-4.0314445
1.7734375	55.914062	-4.7119026
1.7734375	56.6875	-5.3318176
1.7734375	57.460938	-4.90773
1.7734375	58.234375	-5.4903793
1.7734375	59.007812	-4.9181404
1.7734375	59.78125	-4.66156
1.7734375	60.554688	-5.3834305
1.7734375	61.328125	-3.7205353
1.7734375	62.101562	-4.8981476
1.7734375	62.875	-5.6577873
